run_id,prompt_id,prompt_area,variant,score,passed,required_missing,forbidden_hits
stage8c_sft,stage8_lora_definition_001,LoRA 定义与边界,old_sft_v3_answer,1,False,parameter efficient; adapter; frozen base; not wireless,
stage8c_sft,stage8_lora_definition_001,LoRA 定义与边界,stage8_sft_answer,1,False,parameter efficient; adapter; frozen base; not wireless,
stage8c_sft,stage8_lora_definition_002,LoRA 定义与边界,old_sft_v3_answer,0,False,lora; parameter efficient; adapter; frozen base; not wireless,
stage8c_sft,stage8_lora_definition_002,LoRA 定义与边界,stage8_sft_answer,0,False,lora; parameter efficient; adapter; frozen base; not wireless,
stage8c_sft,stage8_lora_definition_003,LoRA 定义与边界,old_sft_v3_answer,2,False,parameter efficient; frozen base; not wireless,
stage8c_sft,stage8_lora_definition_003,LoRA 定义与边界,stage8_sft_answer,3,False,frozen base; not wireless,
stage8c_sft,stage8_lora_definition_004,LoRA 定义与边界,old_sft_v3_answer,1,False,parameter efficient; adapter; frozen base; not wireless,
stage8c_sft,stage8_lora_definition_004,LoRA 定义与边界,stage8_sft_answer,0,False,lora; parameter efficient; adapter; frozen base; not wireless,
stage8c_sft,stage8_lora_definition_005,LoRA 定义与边界,old_sft_v3_answer,4,True,not wireless,
stage8c_sft,stage8_lora_definition_005,LoRA 定义与边界,stage8_sft_answer,2,False,parameter efficient; frozen base; not wireless,
stage8c_sft,stage8_lora_definition_006,LoRA 定义与边界,old_sft_v3_answer,2,False,adapter; frozen base; not wireless,
stage8c_sft,stage8_lora_definition_006,LoRA 定义与边界,stage8_sft_answer,4,True,not wireless,
stage8c_sft,stage8_lora_definition_007,LoRA 定义与边界,old_sft_v3_answer,1,False,parameter efficient; adapter; frozen base; not wireless,
stage8c_sft,stage8_lora_definition_007,LoRA 定义与边界,stage8_sft_answer,2,False,parameter efficient; frozen base; not wireless,
stage8c_sft,stage8_lora_definition_008,LoRA 定义与边界,old_sft_v3_answer,4,True,not wireless,
stage8c_sft,stage8_lora_definition_008,LoRA 定义与边界,stage8_sft_answer,1,False,adapter; frozen base,wireless as main concept
stage8c_sft,stage8_lora_definition_009,LoRA 定义与边界,old_sft_v3_answer,4,True,not wireless,
stage8c_sft,stage8_lora_definition_009,LoRA 定义与边界,stage8_sft_answer,2,False,parameter efficient; frozen base; not wireless,
stage8c_sft,stage8_lora_definition_010,LoRA 定义与边界,old_sft_v3_answer,4,True,not wireless,
stage8c_sft,stage8_lora_definition_010,LoRA 定义与边界,stage8_sft_answer,1,False,parameter efficient; frozen base,wireless as main concept
stage8c_sft,stage8_lora_definition_011,LoRA 定义与边界,old_sft_v3_answer,2,False,parameter efficient; frozen base; not wireless,
stage8c_sft,stage8_lora_definition_011,LoRA 定义与边界,stage8_sft_answer,1,False,adapter; frozen base,wireless as main concept
stage8c_sft,stage8_lora_definition_012,LoRA 定义与边界,old_sft_v3_answer,4,True,not wireless,
stage8c_sft,stage8_lora_definition_012,LoRA 定义与边界,stage8_sft_answer,0,False,parameter efficient; frozen base; not wireless,wireless as main concept
stage8c_sft,stage8_sft_lora_relation_001,SFT 与 LoRA 关系,old_sft_v3_answer,1,False,sft supervised; objective/data; relationship,
stage8c_sft,stage8_sft_lora_relation_001,SFT 与 LoRA 关系,stage8_sft_answer,1,False,objective/data; lora method; relationship,
stage8c_sft,stage8_sft_lora_relation_002,SFT 与 LoRA 关系,old_sft_v3_answer,3,False,relationship,
stage8c_sft,stage8_sft_lora_relation_002,SFT 与 LoRA 关系,stage8_sft_answer,0,False,sft supervised; objective/data; lora method; relationship,
stage8c_sft,stage8_sft_lora_relation_003,SFT 与 LoRA 关系,old_sft_v3_answer,4,True,,
stage8c_sft,stage8_sft_lora_relation_003,SFT 与 LoRA 关系,stage8_sft_answer,3,False,objective/data,
stage8c_sft,stage8_sft_lora_relation_004,SFT 与 LoRA 关系,old_sft_v3_answer,4,True,,
stage8c_sft,stage8_sft_lora_relation_004,SFT 与 LoRA 关系,stage8_sft_answer,4,True,,
stage8c_sft,stage8_sft_lora_relation_005,SFT 与 LoRA 关系,old_sft_v3_answer,4,True,,
stage8c_sft,stage8_sft_lora_relation_005,SFT 与 LoRA 关系,stage8_sft_answer,3,False,objective/data,
stage8c_sft,stage8_sft_lora_relation_006,SFT 与 LoRA 关系,old_sft_v3_answer,4,True,,
stage8c_sft,stage8_sft_lora_relation_006,SFT 与 LoRA 关系,stage8_sft_answer,3,False,objective/data,
stage8c_sft,stage8_sft_lora_relation_007,SFT 与 LoRA 关系,old_sft_v3_answer,3,False,objective/data,
stage8c_sft,stage8_sft_lora_relation_007,SFT 与 LoRA 关系,stage8_sft_answer,2,False,objective/data; lora method,
stage8c_sft,stage8_sft_lora_relation_008,SFT 与 LoRA 关系,old_sft_v3_answer,3,False,objective/data,
stage8c_sft,stage8_sft_lora_relation_008,SFT 与 LoRA 关系,stage8_sft_answer,3,False,objective/data,
stage8c_sft,stage8_sft_lora_relation_009,SFT 与 LoRA 关系,old_sft_v3_answer,4,True,,
stage8c_sft,stage8_sft_lora_relation_009,SFT 与 LoRA 关系,stage8_sft_answer,3,False,objective/data,
stage8c_sft,stage8_sft_lora_relation_010,SFT 与 LoRA 关系,old_sft_v3_answer,4,True,,
stage8c_sft,stage8_sft_lora_relation_010,SFT 与 LoRA 关系,stage8_sft_answer,2,False,objective/data; lora method,
stage8c_sft,stage8_sft_lora_relation_011,SFT 与 LoRA 关系,old_sft_v3_answer,4,True,,
stage8c_sft,stage8_sft_lora_relation_011,SFT 与 LoRA 关系,stage8_sft_answer,3,False,objective/data,
stage8c_sft,stage8_sft_lora_relation_012,SFT 与 LoRA 关系,old_sft_v3_answer,4,True,,
stage8c_sft,stage8_sft_lora_relation_012,SFT 与 LoRA 关系,stage8_sft_answer,3,False,objective/data,
stage8c_sft,stage8_dpo_vs_sft_001,DPO 与 SFT 区别,old_sft_v3_answer,0,False,sft answer imitation; dpo preference; chosen rejected; sft first,
